suburb,address,rooms,price,agent_seller,date,distance,postcode,bathroom,carspots,landsize,building_area,year_built,council_area,latitude,longitude,region_name,property_count,method,type
Abbotsford,31 Turner St,4,1542000.0,Collins,2016-09-24,2.5,3067,3,1,0.0,126.0,1950,Yarra,-37.7994,144.9965,Northern Metropolitan,4019,property sold,house
Abbotsford,166 Gipps St,3,1290000.0,Biggin,2017-02-25,2.5,3067,2,2,147.0,18.0,1950,Yarra,-37.805,144.9943,Northern Metropolitan,4019,property sold,house
Abbotsford,60 Stafford St,3,1290000.0,Biggin,2017-02-25,2.5,3067,1,1,168.0,124.0,1950,Yarra,-37.8007,144.9958,Northern Metropolitan,4019,property sold,house
Abbotsford,11/205 Gipps St,1,470000.0,Nelson,2016-07-26,2.5,3067,1,1,0.0,50.0,2013,Yarra,-37.8055,144.9961,Northern Metropolitan,4019,property sold,"unit, duplex"
Abbotsford,47 Studley St,2,1180000.0,Jellis,2016-11-27,2.5,3067,1,0,162.0,91.0,1900,Yarra,-37.8016,144.9956,Northern Metropolitan,4019,property sold,house
Abbotsford,45 Yarra St,3,1195000.0,Jellis,2016-11-27,2.5,3067,2,1,120.0,128.0,1998,Yarra,-37.8022,144.9954,Northern Metropolitan,4019,property sold prior,house
Abbotsford,200 Nicholson St,2,1012500.0,Nelson,2016-05-28,2.5,3067,1,0,182.0,82.0,1900,Yarra,-37.8021,144.9976,Northern Metropolitan,4019,property sold,house
Abbotsford,27 Charles St,2,1030000.0,Biggin,2016-07-30,2.5,3067,1,1,172.0,81.0,1930,Yarra,-37.8086,144.9946,Northern Metropolitan,4019,property sold,house
Airport West,154 Halsey Rd,3,840000.0,Nelson,2016-09-03,13.5,3042,2,1,303.0,225.0,2016,Moonee Valley,-37.718,144.878,Western Metropolitan,3464,property passed in,townhouse
Airport West,50 Bedford St,3,730000.0,Nelson,2016-12-03,13.5,3042,2,1,0.0,145.0,1965,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464,vendor bid,house
Airport West,50 Bedford St,3,770000.0,Nelson,2017-03-04,13.5,3042,2,1,0.0,145.0,1965,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464,property sold prior,house
Airport West,23 Hart St,2,603000.0,Nelson,2017-03-04,13.5,3042,1,1,272.0,84.0,1950,Moonee Valley,-37.7294,144.888,Western Metropolitan,3464,property sold,house
Airport West,1/80 Hawker St,3,700000.0,Brad,2017-03-04,13.5,3042,2,2,239.0,134.0,2009,Moonee Valley,-37.7218,144.8837,Western Metropolitan,3464,property sold,townhouse
Airport West,1/37 Hillside Gr,3,600000.0,Maddison,2017-03-04,13.5,3042,1,1,290.0,116.0,1980,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464,property sold,house
Airport West,2/49 McIntosh St,2,500000.0,Barry,2017-03-04,13.5,3042,1,1,168.0,86.0,2011,Moonee Valley,-37.7215,144.8864,Western Metropolitan,3464,vendor bid,"unit, duplex"
Airport West,54 Marshall Rd,3,720000.0,Barry,2016-08-06,13.5,3042,1,1,620.0,126.0,1950,Moonee Valley,-37.7173,144.8872,Western Metropolitan,3464,property sold,house
Airport West,36 Roberts Rd,4,785000.0,Considine,2016-08-06,13.5,3042,1,2,597.0,127.0,1950,Moonee Valley,-37.7259,144.8792,Western Metropolitan,3464,property sold,house
Airport West,11 Harrington Rd,6,725000.0,Barry,2016-05-07,13.5,3042,3,2,976.0,186.0,1980,Moonee Valley,-37.7239,144.8735,Western Metropolitan,3464,property sold prior,house
Airport West,2/252 Parer Rd,2,450000.0,Barry,2016-05-07,13.5,3042,1,1,110.0,90.0,2015,Moonee Valley,-37.7216,144.871,Western Metropolitan,3464,property sold,townhouse
Airport West,3/19 Hart St,2,515000.0,Barry,2016-11-07,13.5,3042,1,1,141.0,73.0,2013,Moonee Valley,-37.7298,144.8883,Western Metropolitan,3464,property sold,"unit, duplex"
Airport West,2/62 Clydesdale Rd,2,530000.0,Nelson,2016-09-10,13.5,3042,1,1,120.0,94.0,2012,Moonee Valley,-37.7234,144.8792,Western Metropolitan,3464,property sold,"unit, duplex"
Airport West,3 Deidre Ct,3,895000.0,Rendina,2016-09-10,13.5,3042,1,6,1063.0,133.0,1975,Moonee Valley,-37.7249,144.8728,Western Metropolitan,3464,property passed in,house
Airport West,13 Etzel St,3,805000.0,Nelson,2016-12-10,13.5,3042,1,1,0.0,105.0,1950,Moonee Valley,-37.7217,144.8783,Western Metropolitan,3464,property sold,house
Airport West,1/43 Cameron St,3,752000.0,Nelson,2017-02-11,13.5,3042,1,1,265.0,130.0,1993,Moonee Valley,-37.7302,144.8855,Western Metropolitan,3464,property sold,"unit, duplex"
Airport West,145a Victory Rd,2,440000.0,Barry,2016-08-13,13.5,3042,1,1,192.0,126.0,1950,Moonee Valley,-37.7177,144.8787,Western Metropolitan,3464,property sold,"unit, duplex"
Airport West,241 Parer Rd,5,755000.0,Propertyau,2016-05-14,13.5,3042,2,2,596.0,126.0,1950,Moonee Valley,-37.7248,144.8699,Western Metropolitan,3464,property passed in,house
Airport West,2/40 Earl St,3,700000.0,Brad,2016-10-15,13.5,3042,2,2,165.0,133.0,2009,Moonee Valley,-37.727,144.887,Western Metropolitan,3464,property passed in,townhouse
Airport West,180 Parer Rd,3,830000.0,Barry,2016-04-16,13.5,3042,1,2,971.0,113.0,1960,Moonee Valley,-37.7186,144.876,Western Metropolitan,3464,property sold,house
Airport West,4/54 Hawker St,2,462500.0,Barry,2016-07-16,13.5,3042,1,1,164.0,126.0,2003,Moonee Valley,-37.7218,144.8863,Western Metropolitan,3464,property sold,"unit, duplex"
Airport West,43 Hillside Gr,3,670000.0,Barry,2016-07-16,13.5,3042,2,2,657.0,126.0,1950,Moonee Valley,-37.7269,144.8742,Western Metropolitan,3464,property sold prior,house
Airport West,174 Parer Rd,2,675000.0,Barry,2016-07-16,13.5,3042,1,1,612.0,100.0,1975,Moonee Valley,-37.7187,144.8765,Western Metropolitan,3464,property sold,house
Airport West,138 Victory Rd,3,1042000.0,Nelson,2016-07-16,13.5,3042,2,5,612.0,174.0,1950,Moonee Valley,-37.7173,144.8796,Western Metropolitan,3464,property sold,house
Airport West,75 King St,3,910000.0,McDonald,2016-09-17,13.5,3042,1,1,775.0,126.0,1950,Moonee Valley,-37.7231,144.8835,Western Metropolitan,3464,property sold,house
Airport West,6 Kittyhawk St,4,773000.0,Brad,2016-09-17,13.5,3042,3,4,531.0,309.0,1980,Moonee Valley,-37.7263,144.8679,Western Metropolitan,3464,property sold,house
Airport West,478 Fullarton Rd,3,810000.0,Barry,2017-03-18,13.5,3042,3,2,555.0,192.0,1980,Moonee Valley,-37.7285,144.8694,Western Metropolitan,3464,property passed in,house
Airport West,144 Marshall Rd,3,715000.0,Rendina,2017-03-18,13.5,3042,2,2,422.0,126.0,1995,Moonee Valley,-37.7164,144.8792,Western Metropolitan,3464,property sold,house
Airport West,106 Parer Rd,3,790000.0,Nelson,2017-03-18,13.5,3042,1,3,614.0,126.0,1950,Moonee Valley,-37.7194,144.8827,Western Metropolitan,3464,property sold,house
Airport West,3/7 South Rd,3,540000.0,Nelson,2016-06-18,13.5,3042,2,1,161.0,101.0,2010,Moonee Valley,-37.7231,144.8802,Western Metropolitan,3464,property sold prior,townhouse
Airport West,37 North St,3,825000.0,Barry,2016-11-19,13.5,3042,2,1,293.0,102.0,1960,Moonee Valley,-37.72,144.8776,Western Metropolitan,3464,property sold prior,townhouse
Airport West,10 Hilbert Rd,3,685000.0,Barry,2016-05-22,13.5,3042,1,1,579.0,113.0,1975,Moonee Valley,-37.7226,144.8733,Western Metropolitan,3464,property sold,house
Airport West,110 Halsey Rd,3,805000.0,Barry,2016-08-22,13.5,3042,1,1,623.0,126.0,1950,Moonee Valley,-37.7184,144.882,Western Metropolitan,3464,property sold,house
Airport West,2/13 North St,2,510000.0,Nelson,2016-08-22,13.5,3042,1,1,141.0,76.0,1950,Moonee Valley,-37.7202,144.8797,Western Metropolitan,3464,property sold,"unit, duplex"
Airport West,105a Victory Rd,3,612000.0,Nelson,2016-08-22,13.5,3042,2,1,212.0,126.0,1950,Moonee Valley,-37.7181,144.8824,Western Metropolitan,3464,property sold,house
Airport West,117 Marshall Rd,3,662000.0,Brad,2016-04-23,13.5,3042,1,2,612.0,126.0,1950,Moonee Valley,-37.7169,144.8815,Western Metropolitan,3464,property sold,house
Airport West,34 Moorna Dr,4,978000.0,Nelson,2016-09-24,13.5,3042,3,2,532.0,126.0,1950,Moonee Valley,-37.7263,144.869,Western Metropolitan,3464,property sold,house
Airport West,33 North St,3,720000.0,Nelson,2017-02-25,13.5,3042,1,1,585.0,126.0,1950,Moonee Valley,-37.72,144.878,Western Metropolitan,3464,property passed in,house
Airport West,49 Roberts Rd,4,765000.0,Prof.,2016-11-27,13.5,3042,1,2,509.0,126.0,1950,Moonee Valley,-37.7261,144.8785,Western Metropolitan,3464,property sold,house
Airport West,85 Roberts Rd,4,900000.0,Harcourts,2016-11-27,13.5,3042,2,3,628.0,146.0,1975,Moonee Valley,-37.7256,144.8739,Western Metropolitan,3464,property sold,house
Albert Park,105 Kerferd Rd,2,1275000.0,hockingstuart,2016-09-03,3.3,3206,1,0,120.0,82.0,1900,Port Phillip,-37.8459,144.9555,Southern Metropolitan,3280,property sold,house
Albert Park,85 Richardson St,2,1455000.0,Thomson,2016-09-03,3.3,3206,1,0,159.0,126.0,1950,Port Phillip,-37.845,144.9538,Southern Metropolitan,3280,property sold,house
Albert Park,112 Beaconsfield Pde,3,2850000.0,Buxton,2017-03-04,3.3,3206,2,0,211.0,198.0,1890,Port Phillip,-37.8481,144.9499,Southern Metropolitan,3280,property passed in,house
Albert Park,94 Graham St,3,1850000.0,Greg,2017-03-04,3.3,3206,2,0,128.0,133.0,1890,Port Phillip,-37.8452,144.9488,Southern Metropolitan,3280,property sold,house
Albert Park,396 Montague St,2,1436000.0,RT,2017-03-04,3.3,3206,1,0,130.0,81.0,1900,Port Phillip,-37.8431,144.9565,Southern Metropolitan,3280,property sold,house
Albert Park,75 Graham St,2,1110000.0,Marshall,2016-08-06,3.3,3206,1,0,147.0,126.0,1900,Port Phillip,-37.8444,144.9484,Southern Metropolitan,3280,property sold,house
Albert Park,54 Brooke St,2,1550000.0,Sotheby's,2016-05-07,3.3,3206,1,1,167.0,126.0,1950,Port Phillip,-37.8405,144.9521,Southern Metropolitan,3280,property sold,house
Albert Park,104 Richardson St,4,2300000.0,Marshall,2016-05-07,3.3,3206,2,1,153.0,180.0,1880,Port Phillip,-37.8447,144.9523,Southern Metropolitan,3280,property sold,house
Albert Park,4a Mills St,3,1550000.0,Marshall,2016-11-07,3.3,3206,2,2,718.0,126.0,1950,Port Phillip,-37.8443,144.9598,Southern Metropolitan,3280,vendor bid,townhouse
Albert Park,1 Moubray St,3,1800000.0,Greg,2016-11-07,3.3,3206,2,1,132.0,159.0,1996,Port Phillip,-37.8415,144.952,Southern Metropolitan,3280,vendor bid,house
Albert Park,29 Faussett St,2,2120000.0,Greg,2016-09-10,3.3,3206,1,1,199.0,107.0,1900,Port Phillip,-37.8422,144.9554,Southern Metropolitan,3280,property sold,house
Albert Park,3 Herbert St,3,1800000.0,Cayzer,2016-09-10,3.3,3206,1,1,253.0,126.0,1950,Port Phillip,-37.8443,144.9579,Southern Metropolitan,3280,vendor bid,house
Albert Park,24 Kerferd Pl,3,1800000.0,Marshall,2016-09-10,3.3,3206,2,1,90.0,122.0,1900,Port Phillip,-37.8421,144.9571,Southern Metropolitan,3280,property sold,house
Albert Park,44 Draper St,2,1810000.0,Greg,2016-12-10,3.3,3206,1,0,240.0,126.0,1950,Port Phillip,-37.8379,144.9539,Southern Metropolitan,3280,property passed in,house
Albert Park,2 Dundas Pl,3,2615000.0,Cayzer,2016-12-10,3.3,3206,2,1,177.0,181.0,1880,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280,property sold,house
Albert Park,23 Finlay St,5,2100000.0,Greg,2016-12-10,3.3,3206,2,1,237.0,126.0,1950,Port Phillip,-37.8436,144.9557,Southern Metropolitan,3280,property sold,house
Albert Park,31 Richardson St,3,1300000.0,hockingstuart,2016-12-10,3.3,3206,1,0,129.0,126.0,1950,Port Phillip,-37.8422,144.94899999999996,Southern Metropolitan,3280,property sold,house
Albert Park,4a Gatehouse La,3,1370000.0,Greg,2016-06-12,3.3,3206,2,2,0.0,85.0,2000,Port Phillip,-37.8451,144.9511,Southern Metropolitan,3280,property sold,house
Albert Park,60 Brooke St,2,1000000.0,Cayzer,2016-11-12,3.3,3206,1,0,288.0,126.0,1950,Port Phillip,-37.8407,144.9523,Southern Metropolitan,3280,property sold,house
Albert Park,70 Barrett St,3,2575000.0,Greg,2016-10-15,3.3,3206,2,1,228.0,126.0,1950,Port Phillip,-37.8445,144.9501,Southern Metropolitan,3280,property sold,house
Albert Park,65 Graham St,2,1322500.0,Greg,2016-10-15,3.3,3206,1,0,149.0,98.0,1890,Port Phillip,-37.8443,144.9481,Southern Metropolitan,3280,property sold,house
Albert Park,364 Montague St,2,1562500.0,Greg,2016-10-15,3.3,3206,1,0,141.0,83.0,1890,Port Phillip,-37.8424,144.9562,Southern Metropolitan,3280,property sold,house
Albert Park,86 Mills St,3,2000000.0,RT,2016-04-16,3.3,3206,2,1,211.0,147.0,1900,Port Phillip,-37.847,144.9575,Southern Metropolitan,3280,vendor bid,house
Albert Park,129 Kerferd Rd,3,1900000.0,Greg,2017-03-18,3.3,3206,1,0,209.0,126.0,1900,Port Phillip,-37.8468,144.9546,Southern Metropolitan,3280,property sold,house
Albert Park,97 Page St,3,3010000.0,Greg,2017-03-18,3.3,3206,2,0,147.0,146.0,1890,Port Phillip,-37.8473,144.9551,Southern Metropolitan,3280,property sold,house
Albert Park,55 Withers St,4,2800000.0,Cayzer,2016-06-18,3.3,3206,3,1,327.0,254.0,1910,Port Phillip,-37.8467,144.9475,Southern Metropolitan,3280,vendor bid,house
Albert Park,10/140 Kerferd Rd,2,647000.0,Greg,2016-05-22,3.3,3206,1,1,0.0,126.0,1950,Port Phillip,-37.846,144.9542,Southern Metropolitan,3280,property sold,"unit, duplex"
Albert Park,55 Merton St,3,2100000.0,Marshall,2016-04-23,3.3,3206,1,1,120.0,123.0,1900,Port Phillip,-37.8427,144.9546,Southern Metropolitan,3280,property sold prior,house
Albert Park,49 Page St,3,2000000.0,Marshall,2016-09-24,3.3,3206,1,1,238.0,131.0,1890,Port Phillip,-37.8461,144.9528,Southern Metropolitan,3280,property passed in,house
Albert Park,13/52 Moubray St,1,442500.0,Marshall,2017-02-25,3.3,3206,1,0,0.0,34.0,1970,Port Phillip,-37.8421,144.9517,Southern Metropolitan,3280,property sold,"unit, duplex"
Albert Park,115 Page St,4,4735000.0,Marshall,2017-02-25,3.3,3206,2,1,330.0,207.0,1910,Port Phillip,-37.8477,144.9558,Southern Metropolitan,3280,property sold,house
Albert Park,32 Page St,2,1340000.0,Greg,2017-02-25,3.3,3206,1,0,136.0,126.0,1950,Port Phillip,-37.846,144.9517,Southern Metropolitan,3280,property sold,house
Albert Park,34 Richardson St,3,1801000.0,hockingstuart,2017-02-25,3.3,3206,1,1,202.0,126.0,1950,Port Phillip,-37.8429,144.9493,Southern Metropolitan,3280,property sold,house
Albert Park,2b Dundas Pl,3,1532000.0,Chisholm,2016-07-26,3.3,3206,3,1,0.0,126.0,1950,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280,property sold,house
Albert Park,22 Greig St,3,3755000.0,Greg,2016-07-26,3.3,3206,2,2,325.0,126.0,1950,Port Phillip,-37.8413,144.95,Southern Metropolitan,3280,property sold,house
Albert Park,27 Barrett St,4,2140000.0,Greg,2016-06-27,3.3,3206,2,1,183.0,145.0,1880,Port Phillip,-37.8434,144.9495,Southern Metropolitan,3280,property sold,house
Albert Park,44 Greig St,2,1750000.0,Marshall,2016-11-27,3.3,3206,1,1,162.0,126.0,1950,Port Phillip,-37.8416,144.9488,Southern Metropolitan,3280,property sold,house
Albert Park,6 Brooke St,2,980000.0,Greg,2016-05-28,3.3,3206,1,0,79.0,68.0,1890,Port Phillip,-37.8387,144.9519,Southern Metropolitan,3280,property sold,house
Albert Park,227a Danks St,3,2030000.0,hockingstuart,2016-08-28,3.3,3206,2,0,152.0,126.0,1950,Port Phillip,-37.8488,144.9551,Southern Metropolitan,3280,property sold,house
Albert Park,17 Reed St,3,1740000.0,Marshall,2016-08-28,3.3,3206,2,2,147.0,134.0,1890,Port Phillip,-37.8448,144.9453,Southern Metropolitan,3280,property passed in,house
Albert Park,74 Bridport St,3,2800000.0,Buxton,2016-07-30,3.3,3206,3,1,0.0,126.0,1950,Port Phillip,-37.8399,144.9577,Southern Metropolitan,3280,vendor bid,house
Albert Park,9 Durham St,1,985000.0,Marshall,2016-07-30,3.3,3206,1,0,81.0,54.0,1900,Port Phillip,-37.8411,144.9497,Southern Metropolitan,3280,property sold,house
Alphington,6 Smith St,4,2000000.0,Brace,2016-09-03,6.4,3078,2,4,853.0,263.0,1930,Darebin,-37.7707,145.0318,Northern Metropolitan,2211,property sold,house
Alphington,5/6 Yarralea St,3,1110000.0,Jellis,2016-09-03,6.4,3078,2,2,208.0,126.0,2013,Yarra,-37.7854,145.0325,Northern Metropolitan,2211,property sold,house
Alphington,136A Fulham Rd,3,1492000.0,Jellis,2017-03-04,6.4,3078,2,2,411.0,126.0,1950,Darebin,-37.7713,145.0279,Northern Metropolitan,2211,property sold,house
Alphington,44 Shiers St,4,1717500.0,Collins,2016-10-08,6.4,3078,2,1,599.0,203.0,1925,Darebin,-37.7717,145.031,Northern Metropolitan,2211,property sold,house
Alphington,83 Fulham Rd,5,2840000.0,Nelson,2016-06-12,6.4,3078,4,4,809.0,165.0,1910,Darebin,-37.775,145.0268,Northern Metropolitan,2211,property sold,house
Alphington,3/19 Harker St,2,525500.0,Miles,2016-11-12,6.4,3078,1,1,88.0,60.0,1960,Darebin,-37.7791,145.0306,Northern Metropolitan,2211,property sold,"unit, duplex"
Alphington,4/2 Miller St,2,805000.0,Miles,2016-11-12,6.4,3078,2,3,155.0,140.0,2004,Darebin,-37.7804,145.0308,Northern Metropolitan,2211,property sold,townhouse
Alphington,2/5 Yarana Rd,2,465000.0,McGrath,2016-11-12,6.4,3078,1,1,0.0,126.0,1950,Darebin,-37.7773,145.0314,Northern Metropolitan,2211,property sold,"unit, duplex"
Alphington,815 Heidelberg Rd,3,2000000.0,hockingstuart,2016-10-15,6.4,3078,3,2,686.0,126.0,1950,Darebin,-37.78,145.0341,Northern Metropolitan,2211,property passed in,house
Alphington,44 Naroon Rd,3,1540000.0,Nelson,2016-04-16,6.4,3078,1,2,592.0,126.0,1950,Darebin,-37.7755,145.0288,Northern Metropolitan,2211,property sold,house
Alphington,3/98 Grange Rd,2,820000.0,Nelson,2017-03-18,6.4,3078,1,1,183.0,126.0,1950,Darebin,-37.7747,145.0264,Northern Metropolitan,2211,property sold,"unit, duplex"
Alphington,10 Bennett St,4,1830000.0,Nelson,2016-11-19,6.4,3078,2,2,606.0,112.0,1970,Darebin,-37.7743,145.0316,Northern Metropolitan,2211,property sold,house
Alphington,38 Bennett St,4,2100000.0,Nelson,2016-11-19,6.4,3078,2,2,575.0,271.0,2008,Darebin,-37.7723,145.0319,Northern Metropolitan,2211,property sold,house
Alphington,2c Hamilton St,3,865000.0,hockingstuart,2016-05-22,6.4,3078,1,1,180.0,131.0,2010,Darebin,-37.7802,145.0243,Northern Metropolitan,2211,property sold prior,house
Alphington,5/5 Yarana Rd,2,390000.0,Nelson,2016-05-22,6.4,3078,1,1,0.0,60.0,1960,Darebin,-37.7773,145.0314,Northern Metropolitan,2211,vendor bid,"unit, duplex"
Alphington,7/7 Chandler Hwy,2,650000.0,Brace,2016-09-24,6.4,3078,1,0,0.0,126.0,1950,Yarra,-37.7848,145.025,Northern Metropolitan,2211,property sold prior,townhouse
Alphington,1/14 Fulham Rd,2,512000.0,Love,2017-02-25,6.4,3078,1,1,0.0,61.0,1965,Darebin,-37.7805,145.0262,Northern Metropolitan,2211,property sold,"unit, duplex"
Alphington,22 Lowther St,3,1165000.0,Barry,2016-06-27,6.4,3078,1,2,979.0,126.0,1950,Yarra,-37.7792,145.029,Northern Metropolitan,2211,property sold,house
Alphington,11 Margaret Gr,4,1900000.0,McGrath,2016-11-27,6.4,3078,2,2,556.0,272.0,1930,Yarra,-37.7844,145.0225,Northern Metropolitan,2211,property sold prior,house
Alphington,6 Naroon Rd,3,1485000.0,McGrath,2016-08-28,6.4,3078,0,0,597.0,126.0,1950,Darebin,-37.7781,145.0284,Northern Metropolitan,2211,property sold prior,house
Alphington,42 Shiers St,4,1950000.0,Jellis,2016-07-30,6.4,3078,2,3,589.0,210.0,1920,Darebin,-37.7719,145.0309,Northern Metropolitan,2211,property sold,house
Altona,158 Queen St,3,520000.0,Greg,2016-09-03,13.8,3018,2,1,352.0,242.0,2015,Hobsons Bay,-37.87,144.825,Western Metropolitan,5301,vendor bid,house
Altona,59 Bracken Gr,5,1525000.0,Greg,2016-12-03,13.8,3018,3,3,729.0,268.0,2005,Hobsons Bay,-37.8721,144.8105,Western Metropolitan,5301,property sold,house
Altona,1/123 Blyth St,2,720000.0,hockingstuart,2016-02-04,13.8,3018,1,2,292.0,125.0,2013,Hobsons Bay,-37.8687,144.8197,Western Metropolitan,5301,property sold,townhouse
Altona,4 Blyth St,3,1120000.0,Barlow,2017-03-04,13.8,3018,1,2,506.0,120.0,1930,Hobsons Bay,-37.8693,144.8375,Western Metropolitan,5301,property sold,house
Altona,20 Linnet St,4,780000.0,Sweeney,2016-06-04,13.8,3018,1,4,655.0,126.0,1950,Hobsons Bay,-37.868,144.8154,Western Metropolitan,5301,property passed in,house
Altona,29 Rose St,4,1780000.0,Greg,2016-06-04,13.8,3018,3,6,1057.0,220.0,1962,Hobsons Bay,-37.8681,144.819,Western Metropolitan,5301,property sold prior,house
